ingredient_code,std_name_ko,std_name_en,old_name_ko,old_name_en,as_of_date,source,ingest_date,batch_id
24576,락토바실러스/매실나무씨발효오일여과물,Lactobacillus/Prunus Mume Seed Ferment Oil Filtrate,,,,kcia,2026-03-23,kcia_2026-03-23
24575,올리고펩타이드-20K,,,,,kcia,2026-03-23,kcia_2026-03-23
24574,매실나무씨드케이크가루,Prunus Mume Seedcake Powder,,,,kcia,2026-03-23,kcia_2026-03-23
24573,검은깨수,,,,,kcia,2026-03-23,kcia_2026-03-23
24572,과로황꽃/잎/줄기추출물,Lysimachia Christinae Flower/Leaf/Stem Extract,3036677-64-9,,,kcia,2026-03-23,kcia_2026-03-23
24571,멜로사이드에이,Meloside A,60767-80-8,,,kcia,2026-03-23,kcia_2026-03-23
24570,마카다미아씨오일/팜오일/포도씨오일/코코넛오일에스터즈,Macadamia Ternifolia Seed Oil/Palm Oil/Grape Seed Oil/Coconut Oil Esters,,,,kcia,2026-03-23,kcia_2026-03-23
24569,애기동백잎/줄기추출물,Camellia Sasanqua Leaf/Stem Extract,,,,kcia,2026-03-23,kcia_2026-03-23
24568,아마씨수,Linum Usitatissimum (Linseed) Seed Water,,,,kcia,2026-03-23,kcia_2026-03-23
24567,디옥시리보오스,Deoxyribose,533-67-5,,,kcia,2026-03-23,kcia_2026-03-23
24566,확정세포배양액29,Defined Cell Culture Media 29,,확정세포배양액2K,,kcia,2026-03-23,kcia_2026-03-23
24565,아스퍼질러스/콩/강낭콩발효추출물,,,,,kcia,2026-03-23,kcia_2026-03-23
24564,폴리다이옥사논,Polydioxanone,29223-92-5,,,kcia,2026-03-23,kcia_2026-03-23
24563,칸나비스아미도프로필하이드록시설테인,Cannabisamidopropyl Hydroxysultaine,,,,kcia,2026-03-23,kcia_2026-03-23
24562,바이올라신,Violacein,548-54-9,,,kcia,2026-03-23,kcia_2026-03-23
24561,참당귀/천궁추출물,,,,,kcia,2026-03-23,kcia_2026-03-23
24560,확정세포배양액30,Defined Cell Culture Media 30,,확정세포배양액3K,,kcia,2026-03-23,kcia_2026-03-23
24559,양구슬냉이올레오좀/양구슬냉이에스알-(애기장대폴리펩타이드-2에스에이치-올리고펩타이드-1),Camelina Sativa Oleosomes/Camelina Sativa sr-(Arabidopsis Thaliana Polypeptide-2 sh-Oligopeptide-1),,,,kcia,2026-03-23,kcia_2026-03-23
24558,바실러스/메타티타닉애씨드발효추출물,Bacillus/Metatitanic Acid Ferment Extract,,,,kcia,2026-03-23,kcia_2026-03-23
24557,양구슬냉이올레오좀/양구슬냉이에스알-(애기장대폴리펩타이드-2에스에이치-폴리펩타이드-1),Camelina Sativa Oleosomes/Camelina Sativa sr (Arabidopsis Thaliana Polypeptide-2 sh-Polypeptide-1),,,,kcia,2026-03-23,kcia_2026-03-23
24556,D-펜타펩타이드-1,D-Pentapeptide-1,,,,kcia,2026-03-23,kcia_2026-03-23
24555,락토바실러스/감꼭지발효여과물,Lactobacillus/Diospyros Kaki Calyx Ferment Filtrate,,,,kcia,2026-03-23,kcia_2026-03-23
24554,스테아록시하이드록시프로필피이아이-1500,Stearoxy Hydroxypropyl PEI-1500,,,,kcia,2026-03-23,kcia_2026-03-23
24553,아티초크잎세포추출물,Cynara Cardunculus Leaf Cell Extract,,,,kcia,2026-03-23,kcia_2026-03-23
24552,에스에이치-올리고펩타이드-201에스피트라이플루오로아세테이트,sh-Oligopeptide-201 SP Trifluoroacetate,,올리고펩타이드-19K,,kcia,2026-03-23,kcia_2026-03-23
24551,보리밥나무가지수,,,,,kcia,2026-03-23,kcia_2026-03-23
24550,올리고펩타이드-18K,,,,,kcia,2026-03-23,kcia_2026-03-23
